codigo_municipio_ibge,municipio,uf,fase_ii,ano_inicio_observado_censo,intermitencia_observada_no_painel,ano_evento_institucional,ano_transicao,primeiro_ano_completo,ano_coorte_candidata,origem_coorte,anos_sensibilidade,anos_excluir_estimacao,tratamento_absorvente,tratamento_preexistente_painel,ever_treated,pode_ser_controle,n_pre_limpo,n_pos_disponivel,elegivel_temporal_2pre_3pos,elegivel_temporal_3pre_3pos,candidato_amostra_principal,motivo_exclusao_principal,validacao_institucional_individual,revisao_prioritaria,nivel_evidencia,status_institucional,status_timing,status_populacao_causal,motivo_decisao,fonte_decisao
1200203,Cruzeiro do Sul,AC,True,2012,False,,,,2012.0,proxy_censo,,,True,False,True,False,5.0,7.0,True,True,True,,False,False,nenhuma,proxy_censo_sem_validacao_individual,proxy_primeiro_ept_federal_ativa,candidato_principal,"Primeiro ano de EPT federal ativa usado como proxy automática do Censo; sem validação institucional individual. Não confirma criação, autorização, inauguração ou início das aulas.",painel_censo_escolar
1200500,Sena Madureira,AC,True,2012,False,,,,2012.0,proxy_censo,,,True,False,True,False,5.0,7.0,True,True,True,,False,False,nenhuma,proxy_censo_sem_validacao_individual,proxy_primeiro_ept_federal_ativa,candidato_principal,"Primeiro ano de EPT federal ativa usado como proxy automática do Censo; sem validação institucional individual. Não confirma criação, autorização, inauguração ou início das aulas.",painel_censo_escolar
2700300,Arapiraca,AL,True,2011,False,,,,2011.0,proxy_censo,,,True,False,True,False,4.0,8.0,True,True,True,,False,False,nenhuma,proxy_censo_sem_validacao_individual,proxy_primeiro_ept_federal_ativa,candidato_principal,"Primeiro ano de EPT federal ativa usado como proxy automática do Censo; sem validação institucional individual. Não confirma criação, autorização, inauguração ou início das aulas.",painel_censo_escolar
2704500,Maragogi,AL,True,2011,False,,,,2011.0,proxy_censo,,,True,False,True,False,4.0,8.0,True,True,True,,False,False,nenhuma,proxy_censo_sem_validacao_individual,proxy_primeiro_ept_federal_ativa,candidato_principal,"Primeiro ano de EPT federal ativa usado como proxy automática do Censo; sem validação institucional individual. Não confirma criação, autorização, inauguração ou início das aulas.",painel_censo_escolar
2706703,Penedo,AL,True,2011,False,,,,2011.0,proxy_censo,,,True,False,True,False,4.0,8.0,True,True,True,,False,False,nenhuma,proxy_censo_sem_validacao_individual,proxy_primeiro_ept_federal_ativa,candidato_principal,"Primeiro ano de EPT federal ativa usado como proxy automática do Censo; sem validação institucional individual. Não confirma criação, autorização, inauguração ou início das aulas.",painel_censo_escolar
2707107,Piranhas,AL,True,2011,False,,,,2011.0,proxy_censo,,,True,False,True,False,4.0,8.0,True,True,True,,False,False,nenhuma,proxy_censo_sem_validacao_individual,proxy_primeiro_ept_federal_ativa,candidato_principal,"Primeiro ano de EPT federal ativa usado como proxy automática do Censo; sem validação institucional individual. Não confirma criação, autorização, inauguração ou início das aulas.",painel_censo_escolar
1302405,Lábrea,AM,True,2010,False,,,,2010.0,proxy_censo,,,True,False,True,False,3.0,9.0,True,True,True,,False,False,nenhuma,proxy_censo_sem_validacao_individual,proxy_primeiro_ept_federal_ativa,candidato_principal,"Primeiro ano de EPT federal ativa usado como proxy automática do Censo; sem validação institucional individual. Não confirma criação, autorização, inauguração ou início das aulas.",painel_censo_escolar
1302900,Maués,AM,True,2010,False,,,,2010.0,proxy_censo,,,True,False,True,False,3.0,9.0,True,True,True,,False,False,nenhuma,proxy_censo_sem_validacao_individual,proxy_primeiro_ept_federal_ativa,candidato_principal,"Primeiro ano de EPT federal ativa usado como proxy automática do Censo; sem validação institucional individual. Não confirma criação, autorização, inauguração ou início das aulas.",painel_censo_escolar
1303403,Parintins,AM,True,2010,False,,,,2010.0,proxy_censo,,,True,False,True,False,3.0,9.0,True,True,True,,False,False,nenhuma,proxy_censo_sem_validacao_individual,proxy_primeiro_ept_federal_ativa,candidato_principal,"Primeiro ano de EPT federal ativa usado como proxy automática do Censo; sem validação institucional individual. Não confirma criação, autorização, inauguração ou início das aulas.",painel_censo_escolar
1303536,Presidente Figueiredo,AM,True,2010,False,,,,2010.0,proxy_censo,,,True,False,True,False,3.0,9.0,True,True,True,,False,False,nenhuma,proxy_censo_sem_validacao_individual,proxy_primeiro_ept_federal_ativa,candidato_principal,"Primeiro ano de EPT federal ativa usado como proxy automática do Censo; sem validação institucional individual. Não confirma criação, autorização, inauguração ou início das aulas.",painel_censo_escolar
